ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Quality_Score
462809,Male,No,22,No,Healthcare,1.0,1,4.0,Cat_4,D,5.591394658753709
462643,Female,Yes,38,Yes,Engineer,5.0,2,3.0,Cat_4,A,5.573066666666667
466315,Female,Yes,67,Yes,Engineer,1.0,1,1.0,Cat_6,B,5.460589812332439
461735,Male,Yes,67,Yes,Lawyer,0.0,3,2.0,Cat_6,B,5.544347826086956
462669,Female,Yes,40,Yes,Entertainment,5.0,3,6.0,Cat_6,A,5.43771712158809
461319,Male,Yes,56,No,Artist,0.0,2,2.0,Cat_6,C,5.576308539944903
460156,Male,No,32,Yes,Healthcare,1.0,1,3.0,Cat_6,C,5.798994974874372
464347,Female,No,33,Yes,Healthcare,1.0,1,3.0,Cat_6,D,5.62827763496144
465015,Female,Yes,61,Yes,Engineer,0.0,1,3.0,Cat_7,D,5.6128534704370185
465176,Female,Yes,55,Yes,Artist,1.0,2,4.0,Cat_6,C,5.451052631578948
464041,Female,No,26,Yes,Engineer,1.0,1,3.0,Cat_6,A,5.390932642487047
464942,Male,No,19,No,Healthcare,4.0,1,4.0,Cat_4,D,5.6310160427807485
461230,Female,No,19,No,Executive,0.0,1,5.0,Cat_3,D,5.411049723756906
459573,Male,Yes,70,No,Lawyer,5.0,1,1.0,Cat_6,A,5.0
460849,Female,Yes,58,No,Doctor,0.0,1,1.0,Cat_3,B,5.360110803324099
460563,Female,No,41,No,Healthcare,1.0,1,2.0,Cat_1,C,5.454076086956522
466865,Female,No,32,No,Homemaker,9.0,1,5.0,Cat_3,D,5.734249999999999
461644,Male,No,31,No,Healthcare,1.0,1,6.0,Cat_6,B,5.370523415977961
466772,Male,Yes,58,Yes,Entertainment,1.0,2,4.0,Cat_6,B,5.646280991735537
464291,Female,Yes,79,Yes,Artist,0.0,3,1.0,Cat_6,C,5.0
466084,Male,Yes,49,Yes,Homemaker,12.0,1,1.0,Cat_3,A,5.340104166666666
459675,Female,No,18,No,Healthcare,3.0,1,4.0,Cat_6,D,5.503735632183908
465602,Male,Yes,33,Yes,Artist,13.0,1,2.0,Cat_3,A,5.39891304347826
459168,Female,No,36,Yes,Artist,5.0,1,2.0,Cat_6,B,5.604884318766066
461021,Female,5,58,No,Executive,1.0,2,3.0,Cat_3,B,5.360110803324099
465083,Male,Yes,56,No,Artist,1.0,2,3.0,Cat_6,C,5.576308539944903
467604,Male,No,31,No,Healthcare,9.0,1,8.0,Cat_4,A,5.370523415977961
459717,Male,Yes,49,Yes,Artist,1.0,2,3.0,Cat_6,C,5.340104166666666
465882,Male,No,35,Yes,Artist,0.0,1,1.0,Cat_6,B,5.618489583333333
461996,Female,No,35,No,Artist,5.0,1,4.0,Cat_6,C,5.522666666666667
463331,Female,Yes,45,Yes,Artist,0.0,1,3.0,Cat_6,C,5.455764075067024
462216,Female,Yes,42,No,Doctor,1.0,1,2.0,Cat_4,A,5.681212121212121
462454,Male,No,19,No,Healthcare,1.0,1,3.0,Cat_2,D,5.6310160427807485
467010,Male,No,26,No,Homemaker,9.0,1,5.0,Cat_6,D,5.5598853868194835
459861,Female,Yes,83,No,Lawyer,1.0,3,2.0,Cat_6,D,5.0
467917,Female,No,27,Yes,Healthcare,3.0,1,4.0,Cat_1,D,5.554330708661417
465572,Male,No,32,No,Doctor,5.0,1,1.0,Cat_4,D,5.798994974874372
460593,Female,Yes,28,No,Healthcare,1.0,2,5.0,Cat_3,D,5.661891891891893
465891,Female,Yes,28,Yes,Artist,8.0,1,2.0,Cat_6,A,5.661891891891893
467442,Male,Yes,56,Yes,Artist,5.0,2,2.0,Cat_6,C,5.576308539944903
462044,Female,No,47,Yes,Artist,4.0,1,1.0,Cat_6,B,5.423209169054441
465686,Female,No,22,No,Healthcare,0.0,1,2.0,Cat_6,D,5.602393617021277
464590,Female,No,27,Yes,Artist,14.0,1,3.0,Cat_6,A,5.554330708661417
466006,Female,Yes,49,Yes,Artist,1.0,1,2.0,5,C,5.481896551724137
466152,Male,Yes,40,No,Engineer,8.0,1,1.0,Cat_6,A,5.467532467532467
